Origin (UTC),Present-day Country and link to Wikipedia article,Latitude,Longitude,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,K,
1941.4.15 19:09,Mexico,18.677,-102.957,35,7.6 MW,,,,90,,,5,
1941.5.5 15:18,China,47,127.2,,6.0 UK,,,,132,,,0,
1941.5.16 7:14,China,23.514,99.408,25,6.9 UK,,,,16,,,3,
1941.6.26 11:52,India,12.149,92.478,49.1,7.7 MW,T,,,,,,3,
1941.9.10 21:53,Turkey (see 1941 Van-Erci__ earthquake),39.5,43.3,28,6.0 UK,,,,500,,,1,
1941.10.8 15:24,China,31.7,102.3,,6.0 UK,,,,139,,,3,
1941.11.12 10:04,Turkey,39.7,39.4,70,5.9 UK,,,,15,,,1,
1941.11.18 16:46,Japan,32,132,0,7.7 MW,T,,,2,,,0,
1941.12.16 19:19,Taiwan (see 1941 Chungpu earthquake),23.251,120.391,35,7.1 MW,,,,357,,,0,
1941.12.26 14:48,Myanmar,21.076,99.145,25,7.0 MS,,,,,,,3,
1942.2.1 17:30,China,23.1,100.3,,6.8 UK,,,,90,,,3,
1942.5.14 2:13,Ecuador,0.012,-79.902,35,7.8 MW,,,,200,200,,2,
1942.8.6 23:37,Guatemala,13.78,-90.913,35,7.7 MW,,,,38,,,5,
1942.8.24 22:50,Peru,-14.975,-74.92,35,7.7 MW,T,,,30,,,2,
1942.8.27 6:14,Albania,41.7,20.4,33,6.0 UK,,,,43,,,8,
1942.12.20 14:03,Turkey (see 1942 Niksar-Erbaa earthquake),40.671,36.45,35,7.2 MW,,,,3000,3000,,1,
1943.1.20 15:32,Turkey,40.8,30.5,,6.6 UK,,,,285,,,8,
1943.2.22 9:20,Mexico,17.75,-101.5,0,7.4 MW,,,,11,,,5,
1943.4.6 16:07,Chile,-30.75,-72,0,8.2 MW,T,,,18,,,2,
1943.6.20 15:33,Turkey (see 1943 Adapazar__-Hendek earthquake),40.6,30.5,15,6.2 UK,,,,336,,,8,
1943.7.23 14:53,Indonesia,-9.5,110,90,7.6 mb,,,,213,213,,9,
1943.9.10 8:36,Japan (see 1943 Tottori earthquake),35.25,134,0,7.0 MW,F,,,1083,1083,,0,
1943.11.26 22:20,Turkey (see 1943 Tosya-Ladik earthquake),41,34,0,7.5 MW,,,,4020,2824,,1,
1943.12.2 5:08,Taiwan,22.9,121.5,0,6.5 MS,,,,3,,,0,
1944.1.15 23:49,Argentina (see 1944 San Juan earthquake),-31.25,-68.75,50,7.1 MW,,,,8000,10000,,2,
1944.2.1 3:22,Turkey (see 1944 Bolu-Gerede earthquake),41.5,32.5,0,7.2 MW,,,,3959,3959,,1,
1944.3.9 22:12,China,44,84,0,7.1 MS,,,,4,,,6,
1944.4.5 0:00,Iran,36.8,54.5,7,4.8 UK,,,,20,,,1,
1944.10.6 21:34,Turkey,39.4,26.7,,6.8 Ms,,,,30,,,8,
1944.12.7 4:35,Japan (see 1944 T__nankai earthquake),33.75,136,0,8.1 UK,T,,,1251,998,,0,
1945.1.12 18:38,Japan (see 1945 Mikawa earthquake),34.75,136.75,0,6.8 MS,T,,,2306,1961,,0,
1945.2.10 4:57,Japan,41.25,142.5,50,7.1 MS,T,,,2,,,0,
1945.3.20 7:59,Turkey,37.4,35.8,60,6.0 UK,,,,300,,,1,
1945.9.13 11:17,Chile,-33.25,-70.5,100,7.0 mb,,,,4,,,2,
1945.9.23 15:34,China,39.5,119,,6.3 UK,,,,600,,,0,
1945.11.27 21:56,Pakistan (see 1945 Balochistan earthquake),24.5,63,0,8.0 MW,T,,,300,4000,,6,
1946.2.12 2:43,Algeria,36,5,,6.0 UK,,,,277,,,8,
1946.2.21 15:43,Turkey,38.2,31.8,60,5.6 UK,,,,12,,,8,
1946.4.1 12:28,United States (see 1946 Aleutian Islands earthquake),52.75,-163.5,0,7.3 MS,T,,,173,165,,5,
1946.5.31 3:12,Turkey (see 1946 Varto-H__n__s earthquake),39.3,41.2,,5.9 UK,,,,1300,,,1,
1946.6.23 17:13,Canada (see 1946 Vancouver Island earthquake),49.75,-124.5,0,7.6 MW,T,,,1,,,5,
1946.8.2 19:18,Chile,-26.5,-70.5,50,7.1 MS,,,,2,,,2,
1946.8.4 17:51,Dominican Republic (see 1946 Dominican Republic earthquake),19.25,-69,0,7.9 MW,T,,,100,73,,2,
1946.11.2 18:28,Kyrgyzstan,41.5,72.5,0,7.3 MW,,,,,,,6,
1946.11.4 21:47,Turkmenistan,39.75,54.5,0,7.1 MW,,,,400,,,1,
1946.11.10 17:42,Peru,-8.5,-77.5,0,6.8 MW,,,,1400,1400,,2,
1946.12.4 22:46,Taiwan (see 1946 Hsinhua earthquake),22.5,122.5,0,6.6 MS,,,,74,,,0,
1946.12.20 19:19,Japan (see 1946 Nankaid__ earthquake),32.5,134.5,0,8.1 UK,T,F,,,1330,2000,0,
1947.3.26 20:48,China,25,102,,5.5 UK,,,,4,,,3,
1947.9.23 12:28,Iran,33,59,0,6.8 UK,,,,500,,,1,
1947.9.26 16:01,Japan,24.75,123,110,7.4 mb,,,,5,,,0,
