Origin (UTC),Present-day Country and link to Wikipedia article,Latitude,Longitude,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,K,
1989.12.15 18:43,Philippines,8.365,126.686,24,7.5 MW,,1,1,2,,,9,
1989.12.27 23:26,Australia (see 1989 Newcastle earthquake),-33.02,151.602,9.7,5.5 MD,,12,12,9,,,4,
1990.2.8 7:15,Philippines,9.767,124.631,26,6.7 MW,,,,,1,,9,
1990.2.9 17:57,China,31.745,120.982,11.9,5.0 mb,,0,0,2,,,0,
1990.3.4 19:46,Pakistan,28.906,66.354,8.3,6.0 MW,,11,11,11,11,,6,
1990.3.26 22:47,Philippines,9.283,125.564,51.1,5.9 MW,,1,1,1,,,9,
1990.4.18 13:39,Indonesia,1.195,122.816,26,7.6 MW,,3,3,3,5,,9,
1990.4.26 9:37,China,36.059,100.278,9.3,6.2 MW,,,,119,126,,3,
1990.4.26 9:37,China,36.059,100.278,9.3,6.4 MW,L,126,126,,,,3,
1990.5.5 7:21,Italy,40.665,15.851,1.7,5.8 MW,,,,,2,,8,
1990.5.5 7:21,Italy,40.712,15.805,9.1,5.8 MW,,0,2,,,,8,
1990.5.30 2:34,Peru,-6.022,-77.197,24,6.5 MW,,135,135,135,,,2,
1990.5.30 10:40,Romania,45.855,26.649,89,6.9 MW,,13,14,14,22,,8,
1990.6.9 1:14,Peru,-6.1,-77.133,23.5,5.5 MW,,1,1,1,,,2,
1990.6.14 7:40,Philippines,11.39,122.045,18.1,7.1 MW,,4,4,4,4,,9,
1990.6.14 12:47,Kazakhstan,47.877,85.064,36,6.6 MW,,1,1,3,1,,6,
1990.6.17 4:51,Pakistan,27.39,65.665,13.7,6.1 MW,,6,6,,0,,6,
1990.6.20 21:00,Iran (see 1990 Manjil-Rudbar earthquake),37.001,49.216,17.9,7.4 MW,L,45000,45000,35000,40000,,1,
1990.6.21 9:02,Iran,36.631,49.785,12.4,5.7 MW,,20,20,20,,,1,
1990.7.13 14:20,Afghanistan,36.448,70.775,209.8,6.3 MW,L,0,43,43,,,6,
1990.7.16 7:26,Philippines (see 1990 Luzon earthquake),15.721,121.18,24.3,7.7 MW,L,Lq,1621,1621,2430,2412,0,
1990.8.11 2:59,Ecuador,-0.172,-78.483,18.4,5.3 MW,L,4,4,4,4,,2,
1990.9.26 23:08,South Africa,-28.09,26.837,15,5.0 MW,,0,2,2,,,8,
1990.10.18 9:30,South Africa,-26.39,27.349,5,4.0 Lg,,0,10,10,10,,8,
1990.10.20 8:07,China,37.096,103.718,8,5.7 MW,,1,1,2,1,,3,
1990.10.25 4:53,Afghanistan,35.09,70.429,110.2,5.8 MW,,11,11,11,,,6,
1990.11.6 18:45,Iran,28.242,55.457,11.1,6.6 MW,,22,22,22,21,,1,
1990.11.15 2:34,Indonesia,3.939,97.405,30,6.7 MW,L,1,1,7,1,,9,
1990.12.13 0:24,Italy,37.286,15.402,12.1,5.6 MW,,19,19,12,19,,8,
1990.12.13 3:01,Taiwan,23.883,121.645,9.4,6.3 MW,,2,2,2,,,0,
1990.12.21 6:57,Greece,40.977,22.346,13,6.1 MW,,1,1,1,1,,8,
1990.12.22 17:27,Costa Rica,9.982,-84.229,11.1,5.9 MW,,1,2,1,1,,5,
1991.1.5 14:57,Myanmar,23.559,95.89,16.2,6.9 MW,,,,2,0,,3,
1991.1.31 23:03,Afghanistan,35.944,70.403,142,6.8 MW,L,,,703,3,,6,
1991.2.13 15:49,France,44.885,6.76,5,3.8 ML,L,0,9,9,,,8,
1991.3.25 18:02,China,39.947,113.989,15,5.4 MW,,0,0,1,,,0,
1991.4.5 4:19,Peru,-5.977,-77.081,20,6.9 MW,,53,53,53,,,2,
1991.4.18 9:18,Tajikistan,37.464,68.269,10.5,5.5 MW,L,,,3,24,,6,
1991.4.22 21:56,Costa Rica,9.673,-83.072,12.9,7.6 MW,T,L,Lq,75,75,75,2,
1991.4.24 10:54,Turkey,39.613,41.169,35,4.5 mb,,1,1,1,,,1,
1991.4.29 9:12,Georgia (see 1991 Racha earthquake),42.426,43.667,13.4,7.0 MW,L,114,184,184,270,,1,
1991.5.3 20:19,Georgia,42.68,43.245,3.7,5.6 MW,L,0,3,3,,,1,
1991.5.4 3:42,Panama,9.547,-82.44,6.9,6.2 MW,Lq,0,0,2,0,,2,
1991.5.26 10:59,Malaysia,5.858,116.652,48.6,5.1 mb,,0,1,,,,9,
1991.6.15 0:59,Georgia,42.406,44.011,6,6.2 MW,L,8,8,8,8,,1,
1991.6.15 11:15,Philippines,15.165,120.316,46.4,5.6 MW,,0,137,,,,0,
1991.6.21 6:27,El Salvador,13.408,-89.633,69.8,5.8 MW,F,0,1,1,,,5,
1991.6.28 14:43,United States,34.237,-118.011,11,5.6 MW,,1,2,1,2,,5,
1991.7.4 11:43,Indonesia (see 1991 Kalabahi earthquakes),-8.146,124.587,29,6.7 MW,T,23,23,23,28,,9,
1991.7.12 10:42,Romania,45.393,20.981,15,5.5 MW,,2,2,2,,,8,
1991.7.23 19:44,Peru,-15.707,-71.721,24.2,5.2 MW,L,12,92,92,11,,2,
1991.7.24 9:45,Iraq,36.598,44.061,20,5.5 MW,,20,20,20,,,1,
1991.9.18 9:48,Guatemala,14.604,-90.932,10.6,6.2 MW,L,25,25,25,14,,5,
1991.10.19 21:23,India (see 1991 Uttarkashi earthquake),30.725,78.775,9.3,6.8 MW,L,2000,2000,2000,1500,,6,
1991.11.19 22:28,Colombia,4.552,-77.356,21,7.2 MW,,2,2,2,2,,2,
1991.11.22 0:40,Yemen,13.887,44.068,10,4.7 mb,,10,10,11,10,,1,
1991.11.28 17:19,Iran,36.826,49.582,18.4,5.6 MW,L,1,1,1,,,1,
1992.2.14 17:28,South Africa,-26.42,27.43,5,3.4 Lg,,0,4,4,,,8,
1992.3.4 11:57,Iran,31.605,50.758,25,5.1 MW,L,6,6,6,5,,1,
1992.3.7 1:53,Costa Rica,10.228,-84.302,79,6.5 MW,,0,1,,,,5,
1992.3.13 17:18,Turkey (see 1992 Erzincan earthquake),39.727,39.651,7,6.6 MW,L,498,,652,653,,1,
1992.4.13 1:20,Netherlands,51.181,5.844,18,5.4 MW,,0,1,,1,,8,
1992.4.23 15:32,Myanmar,22.407,98.848,7.9,6.1 MW,,0,0,4,,,3,
1992.5.15 8:08,Uzbekistan,41.001,72.449,37.1,6.2 MS,L,3,3,3,9,,6,
1992.5.20 12:20,Pakistan,33.318,71.272,12.9,6.0 MW,,36,36,36,36,,6,
1992.6.28 11:57,United States (see 1992 Landers earthquake),34.19,-116.52,15,7.3 MW,,1,3,1,1,,5,
1992.8.19 2:04,Kyrgyzstan,42.111,73.588,17.1,7.2 MW,L,Lq,61,75,75,54,6,
1992.8.28 0:50,Pakistan,29.211,66.82,6.4,5.5 MW,,4,4,4,4,,6,
1992.9.2 0:16,Nicaragua (see 1992 Nicaragua earthquake),11.727,-87.38,45,7.6 MW,T,,184,184,179,,5,
1992.9.8 0:38,Iran,29.132,52.147,26.8,5.2 mb,L,1,1,1,,,1,
1992.9.11 3:57,Democratic Republic of the Congo,-6.151,26.66,11,6.3 MW,,8,8,8,9,,8,
1992.10.12 13:09,Egypt (see 1992 Cairo earthquake),29.714,31.144,22,5.8 MW,,552,552,552,552,,8,
1992.10.18 15:11,Colombia,7.093,-76.764,3.5,7.1 MW,L,Lq,1,11,11,,2,
1992.10.22 17:39,Egypt,29.755,31.535,10,4.2 MD,,4,4,4,,,8,
1992.10.23 9:11,Morocco,31.275,-4.291,25.2,5.5 MW,,2,2,2,,,8,
1992.10.23 23:19,Georgia,42.561,45.096,16,6.4 MW,L,1,1,1,1,,1,
1992.12.12 5:29,Indonesia (see 1992 Flores earthquake),-8.498,121.832,28,7.7 MW,T,L,,2519,1740,2500,9,
1992.12.18 11:21,China,26.328,100.752,21.8,5.0 mb,,1,1,1,,,3,
1993.1.8 6:57,South Africa,-28.028,26.8,5,2.7 ML,,0,6,6,,,8,
1993.1.13 17:11,Jamaica,18.052,-76.594,14.2,5.5 MW,,1,1,1,,,5,
1993.1.15 11:06,Japan,43.022,144.194,94.8,7.6 MW,L,,,2,2,,0,
1993.1.15 11:06,Japan,43.024,144.141,102,7.6 MW,L,2,2,,,,0,
1993.1.31 19:33,China,25.826,101.415,25,4.7 ML,,2,2,,,,3,
1993.2.2 16:05,China,42.2,86.144,32,5.7 mb,,,,4,,,6,
1993.3.12 14:01,Wallis and Futuna,-14.409,-178.162,10,6.3 MW,,5,5,5,5,,5,
1993.3.20 14:51,China,29.009,87.356,14.1,6.2 MW,,2,2,,,,3,
1993.3.26 11:58,Greece,37.613,21.526,15,5.4 MW,,0,0,,1,,8,
1993.4.18 9:16,Peru,-11.721,-76.513,106,6.2 MW,L,3,6,6,6,,2,
1993.6.22 16:32,Iran,30.179,50.826,12.6,5.3 MW,L,0,0,,24,,1,
1993.7.10 20:40,Costa Rica,9.824,-83.612,16.5,5.8 MW,L,1,2,1,3,,2,
1993.7.12 13:17,Japan (see 1993 Hokkaid__ earthquake),42.892,139.247,17,7.7 MW,T,LF,200,243,230,239,0,
1993.7.22 4:57,Colombia,6.38,-71.206,20,6.0 MW,,2,2,2,,,2,
1993.8.1 0:20,Sudan,15.401,31.701,11.8,5.5 MW,,2,2,2,3,,8,
1993.9.10 19:12,Mexico,14.758,-92.646,34,7.2 MW,L,1,1,1,,,5,
1993.9.21 3:28,United States,42.305,-122.004,11,6.0 MW,L,1,2,1,,,5,
1993.9.29 22:25,India (see 1993 Latur earthquake),18.06,76.478,14.1,6.2 MW,,9748,9748,9748,9748,,6,
1993.10.11 15:54,Japan,32.03,137.926,351,6.9 MW,,0,1,,,,0,
1993.10.13 2:06,Papua New Guinea,-5.844,146.131,25,6.9 MW,L,,60,60,53,,7,
1993.10.16 3:05,Papua New Guinea,-5.877,146.28,27,6.3 MW,,3,3,3,,,7,
1993.11.22 22:43,Nicaragua,11.718,-86.084,112.6,5.9 MW,,0,1,,,,5,
1993.11.30 20:37,China,39.326,75.505,12.7,5.6 MW,,0,0,2,,,6,
1994.1.17 12:30,United States (see 1994 Northridge earthquake),34.164,-118.563,19,6.7 MW,L,Lq,60,60,60,,5,
1994.1.21 2:24,Indonesia,1.043,127.773,20,6.9 MW,,7,7,7,7,,9,
1994.2.5 23:34,Uganda,0.558,30.081,14,6.2 MW,L,2,4,8,7,,8,
1994.2.15 17:07,Indonesia,-4.999,104.255,23,6.8 MW,L,,207,207,207,,9,
1994.2.23 8:02,Iran,30.788,60.532,7,6.1 MW,,6,6,6,9,,6,
1994.3.1 3:49,Iran,29.143,52.638,12.9,6.0 MW,L,2,2,2,3,,1,
1994.3.2 3:38,Haiti,19.941,-72.814,6.7,5.4 MW,,4,4,4,,,5,
1994.5.1 12:00,Afghanistan,36.934,67.124,17.5,6.1 MW,,,,,160,,6,
1994.5.26 8:26,Morocco,35.25,-4.089,10,5.9 MW,,0,0,2,,,8,
1994.6.2 18:17,Indonesia (see 1994 Java earthquake),-10.409,112.934,34.5,7.8 MW,T,,277,277,,,9,
1994.6.5 1:09,Taiwan,24.455,121.85,11,6.3 MW,T,L,1,1,1,,0,
1994.6.6 20:47,Colombia (see 1994 Paez river earthquake),2.908,-75.971,12,6.8 MW,L,295,795,800,,,2,
1994.6.9 0:33,Bolivia (see 1994 Bolivia earthquake),-13.86,-67.512,631,8.2 MW,L,1,5,10,0,,2,
1994.6.20 9:09,Iran,29.053,52.671,10.8,5.9 MW,L,3,3,3,2,,1,
1994.7.4 21:36,Mexico,14.887,-97.312,15,6.4 MW,,2,2,2,,,5,
1994.8.18 1:13,Algeria,35.464,-0.084,9,5.8 MW,,159,159,159,171,,8,
1994.9.1 7:11,South Africa,-26.447,27.405,5,2.7 ML,,0,3,,,,8,
1994.9.16 6:20,Taiwan (see 1994 Taiwan Strait earthquake),22.555,118.719,13,6.7 MW,,1,1,5,1,,0,
1994.10.4 13:22,Russian Federation,43.863,147.353,14,8.3 MW,T,L,,11,11,5,0,
1994.10.8 21:44,Indonesia,-1.206,127.98,17,6.8 MW,T,1,1,1,1,,9,
1994.11.14 19:15,Philippines,13.543,121.059,32,7.1 MW,T,Lq,78,78,78,81,9,
1994.12.28 12:19,Japan,40.523,143.43,27,7.7 MW,T,3,3,3,2,,0,
1995.1.16 20:46,Japan (see Great Hanshin earthquake),34.58,135.025,22,6.9 MW,L,F,Lq,5502,5530,6432,0,
1995.1.19 15:05,Colombia,5.044,-72.936,17,6.5 MW,L,7,7,7,7,,2,
1995.2.3 15:26,United States,41.488,-109.785,1,5.3 mb,,0,1,1,,,5,
1995.2.8 18:40,Colombia,4.052,-76.589,74,6.3 MW,L,42,42,42,40,,2,
1995.2.23 5:19,Taiwan,24.233,121.706,43.6,6.2 MW,L,0,2,2,,,0,
1995.2.23 21:03,Cyprus,35.06,32.269,18,5.9 MW,,2,2,,2,,8,
1995.3.4 23:23,Colombia,1.282,-77.307,5,4.4 mb,,8,8,8,8,,2,
1995.3.26 15:12,Ecuador,-2.133,-79.509,95.5,5.6 MW,,,,,1,,2,
1995.5.13 8:47,Greece,40.144,21.718,14,6.6 MW,,0,0,,26,,8,
1995.5.14 11:33,Indonesia,-8.462,125.039,11,6.9 MW,T,L,0,11,11,,9,
1995.5.21 6:13,Indonesia,-8.288,122.944,26.4,5.2 MW,,1,1,1,,,9,
1995.5.27 13:03,Russian Federation (see 1995 Neftegorsk earthquake),52.604,142.823,11,7.0 MW,,1989,1989,1989,1989,,0,
1995.6.15 0:15,Greece,38.444,22.309,14,6.2 MW,,26,26,26,26,,8,
1995.6.25 6:59,Taiwan,24.62,121.679,60.3,5.9 MW,L,0,1,1,,,0,
1995.7.11 21:46,Myanmar,21.948,99.103,9.2,6.8 MW,,11,11,11,11,,3,
1995.7.21 22:44,China,36.436,103.166,7.4,5.6 MW,,14,14,14,14,,3,
1995.7.30 5:11,Chile (see 1995 Antofagasta earthquake),-23.34,-70.253,46,8.0 MW,T,L,3,3,3,3,2,
1995.9.14 14:04,Mexico,16.849,-98.608,23,7.3 MW,,3,3,3,6,,5,
1995.10.1 15:57,Turkey,38.077,30.143,31,6.4 MW,,101,101,101,94,,8,
1995.10.3 1:51,Ecuador,-2.79,-77.823,24,7.0 MW,,2,2,2,2,,2,
1995.10.6 18:09,Indonesia,-2.007,101.45,36.6,6.7 MW,L,84,84,84,84,,9,
1995.10.9 15:35,Mexico (see 1995 Colima-Jalisco earthquake),19.053,-104.208,26.4,8.0 MW,T,L,49,49,58,,5,
1995.10.23 22:46,China,25.947,102.22,14.7,6.2 MW,,81,81,53,46,,3,
1995.11.22 4:15,Saudi Arabia/Egypt (see 1995 Gulf of Aqaba earthquake),28.762,34.808,14,7.2 MW,Lq,9,10,10,10,,1,
1995.12.19 20:56,Guatemala,15.175,-90.171,15,5.3 MW,L,0,1,1,,,5,
1995.12.19 23:28,Indonesia,-3.665,140.263,63,6.4 MW,,0,2,2,,,7,
1996.1.1 8:05,Indonesia,0.714,119.905,24,7.9 MW,T,8,9,10,9,,9,
1996.2.3 11:14,China (see 1996 Lijiang earthquake),27.271,100.262,12.2,6.6 MW,,322,322,309,309,,3,
1996.2.17 5:59,Indonesia (see 1996 Biak earthquake),-0.918,136.973,35.8,8.2 MW,T,108,166,166,166,,7,
1996.2.21 12:51,Peru (see 1996 Chimbote earthquake),-9.722,-79.868,15,7.5 MW,T,0,7,,,,2,
1996.3.19 15:00,China,40.043,76.621,18.9,6.3 MW,,24,24,24,26,,6,
1996.3.28 23:03,Ecuador,-1.031,-78.659,9,5.9 MW,L,27,27,,27,,2,
1996.4.29 14:40,Papua New Guinea,-6.518,155.116,38,7.2 MW,,1,1,1,,,7,
1996.5.3 3:32,China,40.777,109.713,24.5,6.0 MW,,18,18,26,18,,0,
1996.8.14 1:55,Turkey,40.697,35.293,25.8,5.7 MW,L,0,0,1,0,,1,
1996.9.24 19:24,China,27.212,100.332,8.2,5.5 MW,,,,1,0,,3,
1996.10.9 13:10,Cyprus,34.562,32.143,22,6.8 MW,,1,2,2,,,8,
1996.11.12 16:59,Peru,-14.959,-75.562,21,7.7 MW,T,14,14,15,14,,2,
1997.1.11 20:28,Mexico,18.193,-102.795,35,7.1 MW,,1,1,1,1,,5,
1997.1.21 1:48,China (see 1997 Jiashi earthquakes),39.536,76.879,15,5.9 MW,,12,12,12,12,,6,
1997.1.22 17:57,Turkey,36.199,35.902,46.1,5.7 MW,,0,0,1,,,1,
1997.2.4 10:37,Iran,37.724,57.305,15,6.5 MW,,100,100,100,100,,1,
1997.2.27 21:08,Pakistan (see 1997 Harnai earthquake),29.979,68.165,34.9,7.1 MW,L,60,60,57,50,,6,
1997.2.28 12:57,Iran (see 1997 Ardabil earthquake),38.108,48.069,9.7,6.1 MW,,1100,1100,1100,1100,,1,
1997.3.1 6:04,China,39.45,76.817,19.3,5.6 MW,,2,2,1,2,,6,
1997.3.19 19:57,Pakistan,34.79,71.523,15,4.9 mb,,15,15,15,,,6,
1997.4.5 23:46,China,39.525,76.83,15,5.9 MW,,0,0,,9,,6,
1997.4.11 5:34,China,39.536,76.892,20,6.1 MW,,9,9,9,9,,6,
1997.5.10 7:57,Iran (see 1997 Qayen earthquake),33.848,59.81,12.6,7.2 MW,L,1572,1572,1572,1568,,1,
1997.5.13 11:42,Iran,33.399,59.88,11.6,4.5 mb,,1,1,1,,,1,
1997.5.13 14:13,Afghanistan,36.467,70.968,196,6.4 MW,,1,1,,,,6,
1997.5.21 22:51,India (see 1997 Jabalpur earthquake),23.072,80.083,36,5.8 MW,,38,38,38,43,,6,
1997.5.21 23:50,Spain,42.83,-7.231,17.1,5.3 MW,,0,1,,,,8,
1997.7.9 19:24,Venezuela| (see 1997 Cariaco earthquake),10.45,-63.532,10,6.9 MW,L,81,81,81,80,,2,
1997.7.21 8:45,South Africa,-26.857,26.619,5,5.0 mb,,0,15,15,15,,8,
1997.9.26 9:40,Italy (see 1997 Umbria and Marche earthquake),43.078,12.781,6,6.0 MW,,11,11,11,14,,8,
1997.9.28 1:38,Indonesia,-3.773,119.658,13,5.8 MW,,18,18,17,20,,9,
1997.10.15 1:03,Chile (see 1997 Punitaqui earthquake),-30.878,-71.167,58,7.1 MW,L,7,8,8,8,,2,
1997.11.6 2:34,Canada,46.771,-71.387,22.5,5.1 Lg,,0,1,1,,,5,
1997.11.21 11:23,India (see 1997 Chittagong earthquake),22.26,92.715,54,6.1 MW,,23,23,23,23,,3,
1998.1.10 3:50,China,41.137,114.523,5,5.7 MW,F,70,70,49,49,,0,
1998.1.30 12:16,Chile,-23.85,-70.147,42,7.0 MW,,0,1,,,,2,
1998.2.4 14:33,Afghanistan (see February 4, 1998 Afghanistan earthquake),37.08,70.004,17.6,5.9 MW,L,2323,2323,2323,2323,6,
1998.2.20 12:18,Afghanistan,36.479,71.074,236,6.3 MW,L,1,1,1,1,,6,
1998.3.14 19:40,Iran,30.126,57.585,13.8,6.6 MW,,5,5,5,5,,1,
1998.3.26 16:26,Italy,43.224,12.919,10,5.4 MW,,0,1,,,,8,
1998.4.10 15:00,Iran,32.447,60.063,7,5.7 MW,,12,12,12,,,6,
1998.4.12 10:55,Slovenia,46.271,13.653,7.5,5.6 MW,L,0,1,,0,,8,
1998.5.22 4:48,Bolivia,-17.783,-65.401,24,6.6 MW,,105,105,105,95,,2,
1998.5.30 6:22,Afghanistan (see May 30, 1998 Afghanistan earthquake),37.185,70.075,35.5,6.5 MW,L,4000,4000,4000,4700,6,
1998.6.27 13:55,Turkey (see 1998 Adana-Ceyhan earthquake),36.903,35.325,16,6.3 MW,,145,145,145,,,1,
1998.7.9 5:19,Portugal,38.621,-28.566,9,6.1 MW,,10,10,10,10,,8,
1998.7.9 14:19,Azerbaijan,38.726,48.525,29,5.9 MW,,,,,1,,1,
1998.7.17 4:51,Taiwan,23.503,120.711,11,5.7 MW,L,5,5,5,,,0,
1998.7.17 8:49,Papua New Guinea (see 1998 Papua New Guinea earthquake),-2.946,142.52,23,7.0 MW,T,0,2683,2700,,,7,
1998.7.29 7:14,Chile,-32.327,-71.244,51,6.4 MW,L,0,2,,,,2,
1998.8.4 18:59,Ecuador (see 1998 Bah__a de Car__quez earthquake),-0.594,-80.313,20,7.1 MW,L,3,3,3,3,,2,
1998.8.27 9:03,China,39.572,77.298,28,6.3 MW,,3,3,3,,,6,
1998.9.9 11:27,Italy,40,15.975,10,5.6 MW,,1,2,1,,,8,
1998.9.28 13:34,Indonesia,-8.177,112.34,151.6,6.5 MW,,1,1,1,,,9,
1998.9.29 22:14,Serbia (see 1998 Mionica earthquake),44.203,20.094,15,5.5 MW,,0,1,,0,,8,
1998.11.13 13:01,Iran,27.791,53.642,12.5,5.4 MW,L,5,5,5,5,,1,
1998.11.19 11:38,China,27.263,100.955,4.8,5.6 MW,L,5,5,6,3,,3,
1998.11.29 14:10,Indonesia,-1.939,124.818,16,7.7 MW,,41,41,41,,,9,
1998.12.11 20:16,Afghanistan,36.518,71,219,5.6 MW,,5,5,5,,,6,
1999.1.25 18:19,Colombia (see 1999 Armenia, Colombia earthquake),4.444,-75.659,17,6.1 MW,L,1185,1885,1900,1186,2,
1999.2.11 14:08,Afghanistan,34.323,69.165,25.5,6.0 MW,,70,70,70,70,,6,
1999.2.21 18:14,Russian Federation,43.262,46.909,41.9,5.3 MW,,1,1,1,1,,1,
1999.3.4 5:38,Iran,28.271,57.207,27.7,6.6 MW,,1,1,1,1,,1,
1999.3.28 19:05,India (see 1999 Chamoli earthquake),30.475,79.401,10.7,6.5 MW,L,100,100,100,100,,6,
1999.4.3 6:17,Peru,-16.602,-72.518,85,6.8 MW,L,1,1,1,,,2,
1999.4.22 22:19,South Africa,-27.953,26.679,6.5,5.7 mb,,0,2,2,,,8,
1999.5.6 23:00,Iran,29.519,51.907,16.3,6.2 MW,,26,26,26,20,,1,
1999.6.4 9:12,Azerbaijan,40.767,47.483,14,5.4 MW,,0,0,,1,,1,
1999.6.15 20:42,Mexico (see 1999 Tehuac__n earthquake),18.381,-97.445,63,6.9 MW,L,16,20,17,15,,5,
1999.7.11 14:14,Guatemala,15.791,-88.285,15,6.7 MW,,1,2,1,,,5,
1999.7.22 10:42,Bangladesh,21.658,91.933,25,5.2 mb,,6,6,6,6,,3,
1999.8.10 19:33,Iran,36.157,54.648,20,4.5 mb,,1,1,1,,,1,
1999.8.17 0:01,Turkey (see 1999 __zmit earthquake),40.773,30.003,13.3,7.6 MW,,17118,,17118,17127,45000[9],8,
1999.8.31 8:10,Turkey,40.767,29.912,8.4,5.1 MW,,1,1,1,1,,8,
1999.9.7 11:56,Greece (see 1999 Athens earthquake),38.119,23.598,10,6.0 MW,,143,143,143,143,,8,
1999.9.13 11:55,Turkey,40.736,30.089,13,5.8 MW,,6,7,6,6,,8,
1999.9.20 17:47,Taiwan (see 1999 Jiji earthquake),23.819,120.877,21,7.6 MW,L,2297,2297,2413,2264,2489[10],0,
1999.9.25 23:52,Taiwan,23.813,121.087,17,6.5 MW,L,,,5,,,0,
1999.9.29 0:13,Turkey,40.736,29.35,7.6,5.2 MW,,1,1,1,,,8,
1999.9.30 16:31,Mexico (see 1999 Oaxaca earthquake),16.055,-96.905,40,7.4 MW,L,15,15,35,31,,5,
1999.10.22 2:18,Taiwan,23.531,120.443,14,5.8 MW,,1,1,1,1,,0,
1999.11.7 16:54,Turkey,40.695,30.724,16,4.9 MW,,0,1,,,,8,
1999.11.11 14:41,Turkey,40.74,30.247,10,5.6 MW,,1,2,1,3,,8,
1999.11.12 16:57,Turkey (see 1999 D__zce earthquake),40.803,31.219,12.8,7.2 MW,L,894,894,894,845,,8,
1999.11.24 16:40,China,24.586,102.845,15,5.0 ML,,1,1,1,,,3,
1999.11.26 13:21,Vanuatu,-16.316,168.239,33,7.4 MW,T,L,,10,10,12,4,
1999.12.3 17:06,Turkey,40.482,42.354,6.4,5.7 MW,L,1,1,1,,,1,
1999.12.11 18:03,Philippines,15.779,119.776,40,7.2 MW,,1,5,1,6,,0,
1999.12.15 5:12,Philippines,11.296,124.516,16.2,4.8 mb,,1,1,,,,9,
1999.12.21 14:14,Indonesia,-6.823,105.498,42,6.4 MW,,5,5,5,5,,9,
1999.12.22 17:36,Algeria,35.21,-1.316,2.3,5.6 MW,,24,24,24,22,,8,
2000.1.14 22:09,China (see 2000 Yunnan earthquake),25.549,101.118,13.6,5.5 MW,,,,,7,,3,
2000.1.14 23:37,China (see 2000 Yunnan earthquake),25.567,101.071,24.9,5.9 MW,,7,7,7,,,3,
2000.1.26 20:55,China,24.148,103.654,35,4.9 mb,,0,0,,1,,3,
2000.2.2 22:58,Iran,35.238,58.213,22.7,5.3 MW,,1,1,1,1,,1,
2000.5.4 4:21,Indonesia,-1.14,123.522,26,7.5 MW,T,46,46,46,45,,9,
2000.5.7 23:10,Turkey,38.164,38.777,5,4.5 MD,,0,0,,1,,1,
2000.5.12 18:43,Argentina,-23.754,-66.777,225,7.2 MW,,0,1,1,,,2,
2000.5.17 3:25,Taiwan,24.167,121.078,15,5.4 MW,L,3,3,3,,,0,
2000.6.4 16:28,Indonesia,-4.76,102.031,33.8,7.9 MW,L,103,103,103,103,,9,
2000.6.5 23:55,Indonesia,-4.151,101.953,47,5.5 MW,,,,,1,,9,
2000.6.6 2:41,Turkey,40.737,33.005,7,6.0 MW,,2,2,2,2,,1,
2000.6.7 23:45,Indonesia,-4.651,101.848,32,6.7 MW,,1,1,1,,,9,
2000.6.10 18:23,Taiwan,23.868,121.181,19,6.4 MW,L,0,2,,,,0,
2000.7.1 7:01,Japan,34.222,139.171,12.5,6.1 MW,T,L,0,1,1,1,0,
2000.7.6 19:30,Nicaragua,11.928,-86.066,15,5.4 MW,,7,7,7,7,,5,
2000.7.7 0:15,Turkey,40.857,29.344,7.8,4.2 MD,,0,1,,,,8,
2000.7.17 22:53,Afghanistan,36.245,70.943,135,6.3 MW,,2,2,2,,,6,
2000.8.21 13:25,China,25.726,102.24,5.4,4.9 mb,,1,1,1,1,,3,
2000.9.20 8:37,Ecuador,-1.946,-80.522,40,5.5 MW,,1,1,1,,,2,
2000.10.2 2:25,Tanzania,-7.965,30.806,34,6.4 MW,,0,0,,1,,8,
2000.11.8 6:59,Colombia,7.091,-77.811,17,6.5 MW,,0,0,,2,,2,
2000.11.10 20:10,Algeria,36.437,4.838,7,5.7 MW,,2,2,2,,,8,
2000.11.16 4:54,Papua New Guinea,-3.996,152.268,27.6,8.0 MW,T,L,1,2,2,1,7,
2000.11.25 18:09,Azerbaijan (see 2000 Baku earthquake),40.198,49.929,51.6,6.8 MW,,5,31,5,31,,1,
2000.11.25 18:10,Azerbaijan,40.161,49.912,52.9,6.5 MW,,,,,,,1,
2000.12.6 17:11,Turkmenistan,39.532,54.801,30.6,7.0 MW,,11,11,11,11,,1,
2000.12.15 16:44,Turkey,38.451,31.265,12,6.0 MW,,6,6,6,,,8,
2001.1.13 17:33,El Salvador (Subduction Zone),13.076,-88.702,38,7.6 MW,L,267,852,852,844,,5,
2001.1.26 3:16,India (see 2001 Gujarat earthquake),23.402,70.287,23.3,7.6 MW,,20023,20023,20023,20005,,6,
2001.2.13 14:22,El Salvador (San Vicente),13.6,-89.001,11,6.6 MW,L,315,315,315,315,,5,
2001.2.17 20:25,El Salvador (San Salvador),13.787,-89.106,10,5.1 mb,L,1,1,1,,,5,
2001.2.23 0:09,China,29.459,101.079,7,5.6 MW,,3,3,3,3,,3,
2001.2.28 18:54,United States (see 2001 Nisqually earthquake),47.09,-122.581,54,6.8 MW,L,Lq,0,0,,1,5,
2001.3.24 6:27,Japan,34.108,132.54,42,6.8 MW,,2,2,2,2,,0,
2001.4.12 10:47,China,24.806,99.051,10.1,5.6 MW,L,2,2,2,2,,3,
